FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12031013728,30.20680756331171,-81.80965818141831,0.3205,0.4412,0.1734,0.5848,0.2773,33,0.0,8,0.0,168,0.0,grid
12031013729,30.22113603251491,-81.79474129403934,0.4249,0.5329,0.4308,0.636,0.2241,34,0.0,15,0.0,193,0.0,grid
12031013730,30.192651765384902,-81.79772150967544,0.2619,0.3282,0.3221,0.5407,0.1884,33,0.0,9,0.0,166,0.0,grid
12031013731,30.19892079628339,-81.78416132934579,0.2667,0.1239,0.4868,0.4957,0.4051,43,0.0,13,0.0,188,0.0,grid
12031013732,30.255818127416536,-81.84247400418293,0.4732,0.2805,0.4874,0.7902,0.5852,22,0.0,10,0.0,155,0.0,grid
12031013733,30.282155494376983,-81.85970098388626,0.3467,0.3333,0.5706,0.6711,0.1838,20,0.0,6,0.0,143,0.0,grid
12031013800,30.38468055458471,-81.42090765083502,0.5406,0.5759,0.0911,0.5392,0.7819,28,0.0,4,0.0,75,0.0,grid
12031013901,30.35592183854817,-81.43194818988596,0.5221,0.5821,0.0609,0.3569,0.8308,35,0.0,10,0.0,94,0.0,grid
12031013902,30.331468115041535,-81.42279938796707,0.4314,0.6821,0.2146,0.3988,0.2838,35,0.0,10,0.0,92,0.0,grid
12031013904,30.361875307978618,-81.41931665154745,0.7355,0.7357,0.3487,0.3801,0.8937,35,0.0,7,0.0,83,0.0,grid
12031013905,30.346325701735807,-81.39987490548863,0.0247,0.0136,0.1288,0.111,0.1454,35,0.0,4,0.0,78,0.0,grid
12031013906,30.35270232909422,-81.40635043523021,0.1394,0.0527,0.0728,0.2266,0.6166,35,0.0,5,0.0,80,0.0,grid
12031014001,30.31606553170352,-81.40084285857549,0.0542,0.083,0.0834,0.0884,0.1856,35,0.0,9,0.0,84,0.0,grid
12031014002,30.316716409137676,-81.41979879110025,0.0043,0.0284,0.0996,0.0402,0.0197,35,0.0,10,0.0,92,0.0,grid
12031014101,30.29781031498992,-81.41248527503966,0.0635,0.055,0.1008,0.0563,0.2769,35,0.0,10,0.0,92,0.0,grid
12031014103,30.297829410703407,-81.39763815338557,0.2126,0.4101,0.0394,0.2695,0.3564,35,0.0,9,0.0,81,0.0,grid
12031014104,30.29756019492363,-81.39186420111862,0.0209,0.0544,0.0702,0.0909,0.1024,35,0.0,7,0.0,79,0.0,grid
